,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,P_ID,Group_ID,Deck,Cabin_No,Side
0,Europa,False,TRAPPIST-1e,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0.0,0001,01,B,0,P
1,Earth,False,TRAPPIST-1e,24.0,0.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1.0,0002,01,F,0,S
2,Europa,False,TRAPPIST-1e,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0.0,0003,01,A,0,S
3,Europa,False,TRAPPIST-1e,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0.0,0003,02,A,0,S
4,Earth,False,TRAPPIST-1e,16.0,0.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1.0,0004,01,F,1,S
5,Earth,False,PSO J318.5-22,44.0,0.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1.0,0005,01,F,0,P
6,Earth,False,TRAPPIST-1e,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1.0,0006,01,F,2,S
7,Earth,True,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,1.0,0006,02,G,0,S
8,Earth,False,TRAPPIST-1e,35.0,0.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,1.0,0007,01,F,3,S
9,Europa,True,55 Cancri e,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1.0,0008,01,B,1,P
10,Europa,True,TRAPPIST-1e,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,1.0,0008,02,B,1,P
11,Europa,False,55 Cancri e,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1.0,0008,03,B,1,P
12,Mars,False,TRAPPIST-1e,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1.0,0009,01,F,1,P
