,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Deck,Side,Group_ID
0,Europa,0.0,TRAPPIST-1e,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,B,P,01
1,Earth,0.0,TRAPPIST-1e,24.0,0.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,F,S,01
2,Europa,0.0,TRAPPIST-1e,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,A,S,01
3,Europa,0.0,TRAPPIST-1e,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0,A,S,02
4,Earth,0.0,TRAPPIST-1e,16.0,0.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1,F,S,01
5,Earth,0.0,PSO J318.5-22,44.0,0.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1,F,P,01
6,Earth,0.0,TRAPPIST-1e,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,F,S,01
7,Earth,1.0,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,,Candra Jacostaffey,1,G,S,02
8,Earth,0.0,TRAPPIST-1e,35.0,0.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,F,S,01
9,Europa,1.0,55 Cancri e,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,B,P,01
10,Europa,1.0,TRAPPIST-1e,34.0,0.0,0.0,0.0,,0.0,0.0,Altardr Flatic,1,B,P,02
11,Europa,0.0,55 Cancri e,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1,B,P,03
12,Mars,0.0,TRAPPIST-1e,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1,F,P,01
13,Earth,0.0,TRAPPIST-1e,48.0,0.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0,G,S,01
14,Earth,0.0,TRAPPIST-1e,28.0,0.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1,F,P,01
15,Earth,0.0,TRAPPIST-1e,31.0,0.0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0,,,01
16,Mars,0.0,55 Cancri e,27.0,0.0,1286.0,122.0,,0.0,0.0,Flats Eccle,0,F,P,01
17,Earth,0.0,55 Cancri e,24.0,0.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,0,F,P,01
18,Mars,1.0,TRAPPIST-1e,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,F,P,01
19,Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,G,P,01
20,Earth,0.0,55 Cancri e,14.0,0.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0,F,P,02
